,trading_symbol,segment,credit_quantity,credit_price,debit_quantity,debit_price,carry_forward_credit_quantity,carry_forward_credit_price,carry_forward_debit_quantity,carry_forward_debit_price,exchange,symbol_isin,quantity,product,net_carry_forward_quantity,net_price,net_carry_forward_price,realised_pnl,Total_credit_Price,Total_debit_Price
8,BSOFT,CASH,8,420.27,0,0.0,0,0.0,0,0.0,BSE,INE836A01035,8,MIS,0,420.27,0.0,0.0,3362.16,0.0
9,BSOFT,CASH,8,409.78,16,409.18,0,0.0,0,0.0,NSE,INE836A01035,-8,MIS,0,409.18,0.0,0.0,3278.24,6546.88
